susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
4876,1630,4100,47334,0.055528688319408666,618,4.3732564045687,0.01
4516,1670,4188,47565,0.055649465087056614,619,4.339023840523013,0.01
4180,1673,4308,47777,0.05578755030393843,620,4.305133602117783,0.01
3864,1677,4368,48026,0.05594419422675987,623,4.271582266096605,0.01
3649,1555,4481,48248,0.05607922766634509,625,4.2383664434356385,0.01
3408,1494,4514,48516,0.0561846167704513,626,4.205482779001282,0.01
3235,1442,4561,48693,0.056302504561855024,627,4.172927951211269,0.01
3104,1364,4596,48863,0.05653494091539177,631,4.140698671699156,0.01
2939,1306,4605,49077,0.0566733512563189,631,4.108791684982164,0.01
2838,1238,4579,49271,0.05682392846325537,632,4.0772037681323425,0.01
2704,1179,4535,49506,0.05700071398788052,634,4.045931730451019,0.01
2611,1090,4539,49684,0.05720621102546659,634,4.014972413146509,0.01
2538,1021,4448,49912,0.05733833548169387,639,3.9843226890150443,0.01
2471,973,4343,50132,0.057564506566754575,639,3.953979462124894,0.01
2414,910,4281,50312,0.05767847658122824,641,3.923939667503645,0.01
2340,869,4204,50502,0.057851685361026604,643,3.8942002708286085,0.01
2322,803,4119,50671,0.058004294846026615,643,3.8647582681203225,0.01
2281,763,4024,50844,0.058202091005195265,646,3.835610685439119,0.01
2261,721,3914,51014,0.05837852681408684,648,3.806754578584728,0.01
2222,732,3840,51115,0.05852453832186799,649,3.7781870327988805,0.01
2251,670,3730,51257,0.058614969162075196,650,3.7499051624708915,0.01
2263,638,3617,51386,0.05874860735762779,654,3.7219061108461826,0.01
2291,618,3506,51487,0.0589205105074075,656,3.694187049737721,0.01
2332,587,3382,51599,0.05908429871721398,658,3.6667451792403436,0.01
2372,559,3269,51699,0.05919845556883969,659,3.63957772744794,0.01
2399,516,3218,51766,0.059416706505833985,659,3.6126819501734606,0.01
2431,504,3103,51860,0.05954672195843467,660,3.586055130671726,0.01
2494,491,2990,51920,0.05971518881956957,663,3.5596945793650088,0.01
2558,470,2916,51950,0.05983395931030912,664,3.533597633571359,0.01
2613,445,2847,51988,0.05992676376783917,665,3.5077616572356454,0.01
2675,436,2743,52039,0.06001372222443922,665,3.482184040663289,0.01
2737,419,2618,52118,0.06013821788292454,666,3.456862200256656,0.01
2800,419,2540,52132,0.06028436859579624,667,3.4317935782540894,0.01
2897,389,2446,52158,0.06038732297951282,668,3.4069756424715485,0.01
2976,383,2394,52135,0.06053790982601495,670,3.382405886046833,0.01
3021,402,2313,52149,0.06067612442689664,673,3.3580818271863646,0.01
3100,399,2212,52173,0.06090792243534802,674,3.334001008914501,0.01
3150,390,2122,52220,0.06111327964832909,676,3.310160998825356,0.01
3211,397,2056,52217,0.061213760509835645,677,3.2865593888371025,0.01
3245,418,1979,52239,0.061351666812144025,677,3.2631937949487315,0.01
3348,403,1924,52203,0.06152823138857568,680,3.2400618569992443,0.01
