susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
1661,338,2733,52879,1,947,5.00432119179672,0.0,0.6075918756731732,1
1680,354,2669,52907,1,948,5.00432119179672,0.0,0.6077487757365813,1
1733,343,2651,52881,1,950,5.00432119179672,0.0,0.6080804462558188,1
1770,358,2577,52902,1,951,5.00432119179672,0.0,0.611412427764052,1
1813,370,2519,52905,1,951,5.00432119179672,0.0,0.6131795595158547,1
1843,392,2456,52914,1,953,5.00432119179672,0.0,0.6107069910577624,1
1893,368,2466,52877,1,954,5.00432119179672,0.0,0.6112918933938702,1
1934,373,2445,52852,1,954,5.00432119179672,0.0,0.6117316727364384,1
1958,387,2417,52839,1,957,5.00432119179672,0.0,0.6078882203853073,1
1971,403,2394,52833,1,957,5.00432119179672,0.0,0.6077282829176724,1
2039,377,2415,52769,1,958,5.00432119179672,0.0,0.6075733265020556,1
2044,406,2353,52796,1,959,5.00432119179672,0.0,0.6072750123698683,1
2066,394,2325,52813,1,960,5.00432119179672,0.0,0.6116290551052272,1
2091,380,2291,52833,1,963,5.00432119179672,0.0,0.6114126991999208,1
2105,397,2272,52820,1,964,5.00432119179672,0.0,0.6115311130422192,1
2135,387,2275,52796,1,965,5.00432119179672,0.0,0.6142535452707557,1
2160,390,2262,52779,1,967,5.00432119179672,0.0,0.6123975065335683,1
2163,388,2240,52800,1,967,5.00432119179672,0.0,0.6101089167128799,1
2204,367,2250,52769,1,968,5.00432119179672,0.0,0.6082429345743517,1
2234,361,2265,52729,1,969,5.00432119179672,0.0,0.6102038191591482,1
2260,368,2250,52709,1,971,5.00432119179672,0.0,0.6081416713188339,1
2267,399,2238,52682,1,972,5.00432119179672,0.0,0.6100607461327705,1
2263,403,2218,52702,1,972,5.00432119179672,0.0,0.6078350042523503,1
2287,386,2220,52690,1,975,5.00432119179672,0.0,0.6067165313260514,1
2276,412,2217,52678,1,975,5.00432119179672,0.0,0.6094032478232554,1
2293,407,2214,52668,1,976,5.00432119179672,0.0,0.6086826784566092,1
2308,385,2229,52659,1,977,5.00432119179672,0.0,0.6087348500207964,1
2327,402,2224,52628,1,977,5.00432119179672,0.0,0.6070325359764589,1
2353,408,2207,52613,1,977,5.00432119179672,0.0,0.6065393432965192,1
2368,421,2219,52571,1,979,5.00432119179672,0.0,0.6104556635348201,1
2355,437,2243,52543,1,980,5.00432119179672,0.0,0.6109862205655112,1
2361,428,2258,52529,1,982,5.00432119179672,0.0,0.6122870318574978,1
2377,423,2239,52537,1,982,5.00432119179672,0.0,0.6119268158932738,1
2364,424,2259,52527,1,984,5.00432119179672,0.0,0.6095827311389498,1
2369,411,2246,52546,1,986,5.00432119179672,0.0,0.6120431114662288,1
2359,453,2224,52535,1,987,5.00432119179672,0.0,0.6116268866673717,1
2352,441,2248,52529,1,988,5.00432119179672,0.0,0.6115075503563434,1
2382,425,2216,52547,1,988,5.00432119179672,0.0,0.6097935679008063,1
2408,424,2193,52544,1,989,5.00432119179672,0.0,0.6103740218063181,1
2420,409,2221,52519,1,989,5.00432119179672,0.0,0.6125050923688746,1
2449,409,2238,52473,1,989,5.00432119179672,0.0,0.60902998409221,1
2448,406,2262,52450,1,992,5.00432119179672,0.0,0.6095326937012217,1
2461,376,2284,52445,1,992,5.00432119179672,0.0,0.6100096564004653,1
2447,400,2268,52449,1,994,5.00432119179672,0.0,0.6081803254805771,1
2471,395,2256,52440,1,996,5.00432119179672,0.0,0.6087634641831994,1
2444,422,2242,52454,1,996,5.00432119179672,0.0,0.6091954048478255,1
2454,401,2261,52445,1,997,5.00432119179672,0.0,0.6100721028392304,1
2442,423,2262,52433,1,998,5.00432119179672,0.0,0.610745713945992,1
2475,406,2290,52389,1,998,5.00432119179672,0.0,0.609429358239851,1
2516,414,2279,52350,1,999,5.00432119179672,0.0,0.6094459752303775,1
2515,398,2300,52343,1,1002,5.00432119179672,0.0,0.6101116518523385,1
2509,419,2304,52323,1,1003,5.00432119179672,0.0,0.611591909063294,1
2507,418,2316,52314,1,1003,5.00432119179672,0.0,0.6114488300488532,1
2495,414,2368,52278,1,1003,5.00432119179672,0.0,0.6105048006379924,1
2496,429,2364,52265,1,1004,5.00432119179672,0.0,0.6103072364235216,1
2504,424,2376,52247,1,1007,5.00432119179672,0.0,0.6106072421848051,1
2507,430,2385,52226,1,1010,5.00432119179672,0.0,0.6088369619295494,1
2501,458,2370,52217,1,1012,5.00432119179672,0.0,0.6144748336705546,1
2474,471,2387,52212,1,1014,5.00432119179672,0.0,0.6119977929764249,1
2466,479,2388,52210,1,1015,5.00432119179672,0.0,0.6134353708571514,1
2471,460,2430,52182,1,1015,5.00432119179672,0.0,0.6127643652711103,1
2444,479,2428,52191,1,1016,5.00432119179672,0.0,0.6132862981742727,1
